poi_id,type,latitude,longitude,city,importance_score
7bb29051-bad9-40ce-b1b2-1540059190a3,aéroport,48.913669,2.391753,Paris,25.03
533e0c53-349c-43dd-888d-629b7e745dc2,centre commercial,48.814271,2.425424,Paris,22.53
a2dc984e-cbc2-4f2d-851a-d6c92467123a,université,48.844257,2.348405,Paris,81.95
2422b6e9-e8e0-4b66-9eb1-24b748995425,cinéma,48.92055,2.278632,Paris,78.72
96a3bda8-63ba-4f0f-8d12-027697522c4d,aéroport,48.889995,2.363993,Paris,37.94
f52bdf6b-1e3a-4fc6-af6b-71c5966b9f5d,gare,48.913846,2.26654,Paris,99.49
122cd290-310f-4730-83e7-1f0932ee37d7,aéroport,48.93122,2.335414,Paris,23.81
e9feee69-18c1-4dff-b5ea-422ea5c4f8a8,cinéma,48.811508,2.266518,Paris,29.73
a75957c8-365c-4cf6-9365-016bfdd083a1,stade,48.861463,2.322227,Paris,89.18
39ee2187-be08-48b4-80ae-355418ab549e,restaurant,48.794462,2.347228,Paris,71.71
10a06cdb-f4ac-4471-a45a-f1c8dd3908b1,cinéma,48.780575,2.320917,Paris,99.35
d9432117-8a80-411e-8cff-e4ed61bf6f9a,cinéma,48.912647,2.436046,Paris,28.63
8cb86f3b-38f8-48fe-a059-095c5a9d9c8c,centre commercial,48.878796,2.26704,Paris,71.77
f3d4f813-df30-44a1-a97d-1ff2f2a74944,cinéma,48.79079,2.328442,Paris,33.51
3f4dd64a-9ce6-4f4d-bafa-e1ba1cc2a5f3,cinéma,48.916603,2.321642,Paris,63.7
444f1c2c-9506-4d79-a76d-1cce6eac90a5,aéroport,48.850053,2.323221,Paris,20.55
181a1a05-1e3f-492d-88ca-d152cd76a37c,centre commercial,48.925317,2.384774,Paris,49.79
b5a207c2-eba4-4584-b405-7ad04b2b87c1,centre commercial,48.935368,2.337683,Paris,66.75
226c7b1d-d2ab-469e-8c8b-64c344819c83,stade,48.878132,2.397285,Paris,27.25
951ac103-db0c-4c5d-89cb-ad7b56a1a366,stade,48.825023,2.417602,Paris,58.16
5a676d5c-b0fd-4d48-b84b-681d3c9ce8c3,aéroport,48.881541,2.304942,Paris,78.83
a15e9ecf-567e-461e-99cd-1ea274efd81f,gare,48.787962,2.433377,Paris,60.98
3d2b88ff-b94b-4837-9b1d-cd442680fb6d,restaurant,48.889664,2.426631,Paris,28.05
078dbe0f-8dd1-45fb-ad4d-8cd64a34756e,aéroport,48.933992,2.429503,Paris,50.49
47217948-cb7b-49a1-a802-e347fbb7812e,université,48.915898,2.4062,Paris,53.03
80f3b67e-a125-46bb-bd0f-5e608517fc38,gare,48.942385,2.426528,Paris,29.42
d91ddfac-1737-4711-be8f-52df46a9ee5c,aéroport,48.788001,2.430046,Paris,41.61
54636cac-3d58-44a0-9e6a-abe72d35e4ba,université,48.819393,2.408515,Paris,45.35
a3146d49-9ec7-4f5a-9af8-46c628cac785,aéroport,48.846088,2.277107,Paris,35.46
d728fb80-6177-42b4-a012-79fed5cf7b53,gare,48.777255,2.293932,Paris,78.89
92bc23ab-a4e9-4f7c-9273-55c6fe78e84c,université,48.768725,2.30157,Paris,41.67
257c3dff-767b-4a02-aa0c-f8e75f30e86e,aéroport,48.923043,2.337761,Paris,53.49
bf18c9a4-e137-4537-bfed-4b2bafc43cd1,centre commercial,48.864719,2.316284,Paris,41.0
f56b9e63-e714-4b8c-8577-a180fd38e801,restaurant,48.817982,2.437242,Paris,66.31
46f2145a-a5a9-421e-b201-936d335fe10e,centre commercial,48.772726,2.337232,Paris,57.84
a144671a-6cbe-4ab5-ba4b-02341c172ec8,université,48.809724,2.339087,Paris,72.63
811c2431-3a19-4ff7-a0c6-172d0525af67,université,48.91965,2.338474,Paris,84.59
b195ef15-e7f4-4b3b-b5c9-65d862c23f3b,centre commercial,48.886607,2.440283,Paris,24.66
89ab0917-6605-443c-8bc3-b00b8ba8bd39,restaurant,48.853869,2.360035,Paris,37.16
315f37d1-4a24-4ee9-8989-d9f8a0880846,aéroport,48.90597,2.321077,Paris,93.73
4fceb4ab-b69f-4e87-97d3-8d4c840c1e0a,gare,48.868827,2.335512,Paris,69.13
4c07fa59-c112-4d38-9977-16d02507301c,aéroport,48.78735,2.266901,Paris,67.45
0b3d741d-9af9-4a53-9fe1-6a59f882d133,gare,48.857255,2.319397,Paris,79.72
2f072daf-ddd9-4352-8589-077114c4d237,université,48.942622,2.313951,Paris,27.93
0f1c0534-0d15-48dd-816b-a288c6952859,gare,48.897719,2.366263,Paris,82.57
cfe80688-f464-4956-9f21-0cf7d9ade7f7,université,48.881751,2.298423,Paris,68.73
5a94165b-72a3-4f33-89ae-9b15ffb6aeae,centre commercial,48.870157,2.388029,Paris,44.07
4e95f79e-9176-4941-9089-c02aaeabc0d7,restaurant,48.796696,2.423727,Paris,34.86
6a992279-5234-4df6-a255-f991b04307e2,centre commercial,48.825916,2.432134,Paris,60.11
afd79aea-eb41-45fe-8779-ee8ea238630a,centre commercial,48.825113,2.303717,Paris,51.77
14a59f5a-485e-4e4b-8e81-eb24ef0b5c74,cinéma,48.866317,2.402096,Paris,51.42
bc449332-392a-49bf-8df3-4813012a5fc3,aéroport,48.809015,2.426628,Paris,20.35
ae66ca00-3d5d-4652-9c4d-a5abec3cb943,restaurant,48.906509,2.428235,Paris,29.61
03962b75-36e7-4fdb-a587-2fc6a2051ef7,université,48.76805,2.408668,Paris,90.98
6ffb4f4f-2de7-4f4e-9f25-572356fd0836,aéroport,48.829224,2.368613,Paris,52.08
fa52a5b8-90d1-42e3-a911-46bf47f3962b,cinéma,48.92107,2.355965,Paris,40.8
fef7018b-9ed3-4dba-bc5f-0d88c64bc807,aéroport,48.931777,2.298901,Paris,41.83
fdc73a75-a6aa-4ca4-83bf-a98c20ac72cd,université,48.86458,2.304289,Paris,58.11
9d7cd668-021d-4847-a268-71afadb986c9,stade,48.815484,2.301456,Paris,69.92
3887f855-4c0b-43a7-8074-28c10292836e,centre commercial,48.807574,2.374997,Paris,71.41
608ead59-2d52-43cf-b531-e040a0494281,cinéma,48.894113,2.424842,Paris,69.87
