store_id,enseigne,name,address,city,arrondissement,latitude,longitude
18b7ff04-7b45-4433-89a4-97ed8e43aa05,Nicolas,Nicolas avenue Jean Jaurès,"64 avenue Jean Jaurès, 75001 Paris",Paris,1,48.864452,2.3269
06b8833f-7888-455d-a37c-eb8686fc71a8,Nicolas,Nicolas rue Montorgueil,"24 rue Montorgueil, 75001 Paris",Paris,1,48.858625,2.341129
8ff4c4da-071f-48cc-b381-3eecb00c3879,Nicolas,Nicolas rue de Rennes,"57 rue de Rennes, 75001 Paris",Paris,1,48.863767,2.327036
ddfa073f-243e-4d7c-89eb-4120d12a3ab8,Carrefour City,Carrefour City rue Montorgueil,"52 rue Montorgueil, 75001 Paris",Paris,1,48.858757,2.33844
0bd532e2-1dc2-4ae1-a30c-2bc3c06ad45d,Carrefour City,Carrefour City rue de Belleville,"58 rue de Belleville, 75001 Paris",Paris,1,48.865524,2.340426
2869bd21-1ac6-40ce-9eef-f55771f137ae,Monoprix,Monoprix rue de Rivoli,"42 rue de Rivoli, 75001 Paris",Paris,1,48.861789,2.331964
d314f399-1d21-4722-981a-491af43c8f3c,Franprix,Franprix rue Oberkampf,"57 rue Oberkampf, 75001 Paris",Paris,1,48.865274,2.333205
66976859-0e6c-41c4-a205-64d07ccb06a9,Franprix,Franprix rue de Rennes,"99 rue de Rennes, 75001 Paris",Paris,1,48.868901,2.333132
519a88b3-48cd-4889-ad75-6c8c579d81f5,Picard,Picard rue Saint-Antoine,"69 rue Saint-Antoine, 75001 Paris",Paris,1,48.856854,2.34335
e20be874-3cd7-4990-8322-18d8a17f8c80,Sephora,Sephora rue Montorgueil,"33 rue Montorgueil, 75001 Paris",Paris,1,48.8668,2.340995
0059b84b-a088-48f9-a3f5-36ceb07d0fa8,Nicolas,Nicolas rue Montorgueil,"77 rue Montorgueil, 75002 Paris",Paris,2,48.874924,2.340371
09040d1e-66f1-456d-b768-5a6ea0f1e083,Nicolas,Nicolas rue Mouffetard,"149 rue Mouffetard, 75002 Paris",Paris,2,48.872912,2.34517
